Kd_Kecamatan,Kd_Kota,NamaKecamatan,Created_at,Modified_at,Delete_at
1101010,1101,TEUPAH SELATAN,2022-08-22 10:19:08.316474,,
1101020,1101,SIMEULUE TIMUR,2022-08-22 10:19:08.316474,,
1101021,1101,TEUPAH BARAT,2022-08-22 10:19:08.316474,,
1101022,1101,TEUPAH TENGAH,2022-08-22 10:19:08.316474,,
1101030,1101,SIMEULUE TENGAH,2022-08-22 10:19:08.316474,,
1101031,1101,TELUK DALAM,2022-08-22 10:19:08.316474,,
1101032,1101,SIMEULUE CUT,2022-08-22 10:19:08.316474,,
1101040,1101,SALANG,2022-08-22 10:19:08.316474,,
1101050,1101,SIMEULUE BARAT,2022-08-22 10:19:08.316474,,
1101051,1101,ALAFAN,2022-08-22 10:19:08.316474,,
1102010,1102,PULAU BANYAK,2022-08-22 10:19:08.316474,,
1102011,1102,PULAU BANYAK BARAT,2022-08-22 10:19:08.316474,,
1102020,1102,SINGKIL,2022-08-22 10:19:08.316474,,
1102021,1102,SINGKIL UTARA,2022-08-22 10:19:08.316474,,
1102022,1102,KUALA BARU,2022-08-22 10:19:08.316474,,
1102030,1102,SIMPANG KANAN,2022-08-22 10:19:08.316474,,
1102031,1102,GUNUNG MERIAH,2022-08-22 10:19:08.316474,,
1102032,1102,DANAU PARIS,2022-08-22 10:19:08.316474,,
1102033,1102,SURO,2022-08-22 10:19:08.316474,,
1102042,1102,SINGKOHOR,2022-08-22 10:19:08.316474,,
1102043,1102,KOTA BAHARU,2022-08-22 10:19:08.316474,,
1103010,1103,TRUMON,2022-08-22 10:19:08.316474,,
1103011,1103,TRUMON TIMUR,2022-08-22 10:19:08.316474,,
1103012,1103,TRUMON TENGAH,2022-08-22 10:19:08.316474,,
1103020,1103,BAKONGAN,2022-08-22 10:19:08.316474,,
1103021,1103,BAKONGAN TIMUR,2022-08-22 10:19:08.316474,,
1103022,1103,KOTA BAHAGIA,2022-08-22 10:19:08.316474,,
1103030,1103,KLUET SELATAN,2022-08-22 10:19:08.316474,,
1103031,1103,KLUET TIMUR,2022-08-22 10:19:08.316474,,
1103040,1103,KLUET UTARA,2022-08-22 10:19:08.316474,,
1103041,1103,PASIE RAJA,2022-08-22 10:19:08.316474,,
1103042,1103,KLUET TENGAH,2022-08-22 10:19:08.316474,,
1103050,1103,TAPAK TUAN,2022-08-22 10:19:08.316474,,
1103060,1103,SAMA DUA,2022-08-22 10:19:08.316474,,
1103070,1103,SAWANG,2022-08-22 10:19:08.316474,,
1103080,1103,MEUKEK,2022-08-22 10:19:08.316474,,
1103090,1103,LABUHAN HAJI,2022-08-22 10:19:08.316474,,
1103091,1103,LABUHAN HAJI TIMUR,2022-08-22 10:19:08.316474,,
1103092,1103,LABUHAN HAJI BARAT,2022-08-22 10:19:08.316474,,
1104010,1104,LAWE ALAS,2022-08-22 10:19:08.316474,,
1104011,1104,BABUL RAHMAH,2022-08-22 10:19:08.316474,,
1104012,1104,TANOH ALAS,2022-08-22 10:19:08.316474,,
1104020,1104,LAWE SIGALA-GALA,2022-08-22 10:19:08.316474,,
1104021,1104,BABUL MAKMUR,2022-08-22 10:19:08.316474,,
1104022,1104,SEMADAM,2022-08-22 10:19:08.316474,,
1104023,1104,LEUSER,2022-08-22 10:19:08.316474,,
1104030,1104,BAMBEL,2022-08-22 10:19:08.316474,,
1104031,1104,BUKIT TUSAM,2022-08-22 10:19:08.316474,,
1104032,1104,LAWE SUMUR,2022-08-22 10:19:08.316474,,
1104040,1104,BABUSSALAM,2022-08-22 10:19:08.316474,,
1104041,1104,LAWE BULAN,2022-08-22 10:19:08.316474,,
1104050,1104,BADAR,2022-08-22 10:19:08.316474,,
1104051,1104,DARUL HASANAH,2022-08-22 10:19:08.316474,,
1104052,1104,KETAMBE,2022-08-22 10:19:08.316474,,
1104053,1104,DELENG POKHKISEN,2022-08-22 10:19:08.316474,,
1105080,1105,SERBA JADI,2022-08-22 10:19:08.316474,,
1105081,1105,SIMPANG JERNIH,2022-08-22 10:19:08.316474,,
1105082,1105,PEUNARON,2022-08-22 10:19:08.316474,,
1105090,1105,BIREM BAYEUN,2022-08-22 10:19:08.316474,,
1105100,1105,RANTAU SELAMAT,2022-08-22 10:19:08.316474,,
1105101,1105,SUNGAI RAYA,2022-08-22 10:19:08.316474,,
1105110,1105,PEUREULAK,2022-08-22 10:19:08.316474,,
1105111,1105,PEUREULAK TIMUR,2022-08-22 10:19:08.316474,,
1105112,1105,PEUREULAK BARAT,2022-08-22 10:19:08.316474,,
1105120,1105,RANTO PEUREULAK,2022-08-22 10:19:08.316474,,
1105130,1105,IDI RAYEUK,2022-08-22 10:19:08.316474,,
1105131,1105,PEUDAWA,2022-08-22 10:19:08.316474,,
1105132,1105,BANDA ALAM,2022-08-22 10:19:08.316474,,
1105133,1105,IDI TUNONG,2022-08-22 10:19:08.316474,,
1105134,1105,DARUL IHSAN,2022-08-22 10:19:08.316474,,
1105135,1105,IDI TIMUR,2022-08-22 10:19:08.316474,,
1105140,1105,DARUL AMAN,2022-08-22 10:19:08.316474,,
1105150,1105,NURUSSALAM,2022-08-22 10:19:08.316474,,
1105151,1105,DARUL FALAH,2022-08-22 10:19:08.316474,,
1105160,1105,JULOK,2022-08-22 10:19:08.316474,,
1105161,1105,INDRA MAKMUR,2022-08-22 10:19:08.316474,,
1105170,1105,PANTE BIDARI,2022-08-22 10:19:08.316474,,
1105180,1105,SIMPANG ULIM,2022-08-22 10:19:08.316474,,
1105181,1105,MADAT,2022-08-22 10:19:08.316474,,
1106010,1106,LINGE,2022-08-22 10:19:08.316474,,
1106011,1106,ATU LINTANG,2022-08-22 10:19:08.316474,,
1106012,1106,JAGONG JEGET,2022-08-22 10:19:08.316474,,
1106020,1106,BINTANG,2022-08-22 10:19:08.316474,,
1106031,1106,LUT TAWAR,2022-08-22 10:19:08.316474,,
1106032,1106,KEBAYAKAN,2022-08-22 10:19:08.316474,,
1106040,1106,PEGASING,2022-08-22 10:19:08.316474,,
1106041,1106,BIES,2022-08-22 10:19:08.316474,,
1106050,1106,BEBESEN,2022-08-22 10:19:08.316474,,
1106051,1106,KUTE PANANG,2022-08-22 10:19:08.316474,,
1106060,1106,SILIH NARA,2022-08-22 10:19:08.316474,,
1106061,1106,KETOL,2022-08-22 10:19:08.316474,,
1106062,1106,CELALA,2022-08-22 10:19:08.316474,,
1106063,1106,RUSIP ANTARA,2022-08-22 10:19:08.316474,,
1107050,1107,JOHAN PAHLAWAN,2022-08-22 10:19:08.316474,,
1107060,1107,SAMATIGA,2022-08-22 10:19:08.316474,,
1107061,1107,BUBON,2022-08-22 10:19:08.316474,,
1107062,1107,ARONGAN LAMBALEK,2022-08-22 10:19:08.316474,,
1107070,1107,WOYLA,2022-08-22 10:19:08.316474,,
1107071,1107,WOYLA BARAT,2022-08-22 10:19:08.316474,,
1107072,1107,WOYLA TIMUR,2022-08-22 10:19:08.316474,,
1107080,1107,KAWAY XVI,2022-08-22 10:19:08.316474,,
1107081,1107,MEUREUBO,2022-08-22 10:19:08.316474,,
1107082,1107,PANTAI CEUREMEN,2022-08-22 10:19:08.316474,,
1107083,1107,PANTON REU,2022-08-22 10:19:08.316474,,
1107090,1107,SUNGAI MAS,2022-08-22 10:19:08.316474,,
1108010,1108,LHOONG,2022-08-22 10:19:08.316474,,
1108020,1108,LHOKNGA,2022-08-22 10:19:08.316474,,
1108021,1108,LEUPUNG,2022-08-22 10:19:08.316474,,
