Kd_Kota,Kd_Provinsi,NamaKota,Created_at,Modified_at,Delete_at
1101,11,KABUPATEN SIMEULUE,2022-08-22 10:18:37.593060,,
1102,11,KABUPATEN ACEH SINGKIL,2022-08-22 10:18:37.593060,,
1103,11,KABUPATEN ACEH SELATAN,2022-08-22 10:18:37.593060,,
1104,11,KABUPATEN ACEH TENGGARA,2022-08-22 10:18:37.593060,,
1105,11,KABUPATEN ACEH TIMUR,2022-08-22 10:18:37.593060,,
1106,11,KABUPATEN ACEH TENGAH,2022-08-22 10:18:37.593060,,
1107,11,KABUPATEN ACEH BARAT,2022-08-22 10:18:37.593060,,
1108,11,KABUPATEN ACEH BESAR,2022-08-22 10:18:37.593060,,
1109,11,KABUPATEN PIDIE,2022-08-22 10:18:37.593060,,
1110,11,KABUPATEN BIREUEN,2022-08-22 10:18:37.593060,,
1111,11,KABUPATEN ACEH UTARA,2022-08-22 10:18:37.593060,,
1112,11,KABUPATEN ACEH BARAT DAYA,2022-08-22 10:18:37.593060,,
1113,11,KABUPATEN GAYO LUES,2022-08-22 10:18:37.593060,,
1114,11,KABUPATEN ACEH TAMIANG,2022-08-22 10:18:37.593060,,
1115,11,KABUPATEN NAGAN RAYA,2022-08-22 10:18:37.593060,,
1116,11,KABUPATEN ACEH JAYA,2022-08-22 10:18:37.593060,,
1117,11,KABUPATEN BENER MERIAH,2022-08-22 10:18:37.593060,,
1118,11,KABUPATEN PIDIE JAYA,2022-08-22 10:18:37.593060,,
1171,11,KOTA BANDA ACEH,2022-08-22 10:18:37.593060,,
1172,11,KOTA SABANG,2022-08-22 10:18:37.593060,,
1173,11,KOTA LANGSA,2022-08-22 10:18:37.593060,,
1174,11,KOTA LHOKSEUMAWE,2022-08-22 10:18:37.593060,,
1175,11,KOTA SUBULUSSALAM,2022-08-22 10:18:37.593060,,
1201,12,KABUPATEN NIAS,2022-08-22 10:18:37.593060,,
1202,12,KABUPATEN MANDAILING NATAL,2022-08-22 10:18:37.593060,,
1203,12,KABUPATEN TAPANULI SELATAN,2022-08-22 10:18:37.593060,,
1204,12,KABUPATEN TAPANULI TENGAH,2022-08-22 10:18:37.593060,,
