Kd_Provinsi,NamaProvinsi,Kd_Region,Created_at,Modified_at,Delete_at
11,ACEH,,2022-08-22 10:17:51.985147,,
12,SUMATERA UTARA,,2022-08-22 10:17:51.985147,,
13,SUMATERA BARAT,,2022-08-22 10:17:51.985147,,
14,RIAU,,2022-08-22 10:17:51.985147,,
15,JAMBI,,2022-08-22 10:17:51.985147,,
16,SUMATERA SELATAN,,2022-08-22 10:17:51.985147,,
17,BENGKULU,,2022-08-22 10:17:51.985147,,
18,LAMPUNG,,2022-08-22 10:17:51.985147,,
19,KEPULAUAN BANGKA BELITUNG,,2022-08-22 10:17:51.985147,,
21,KEPULAUAN RIAU,,2022-08-22 10:17:51.985147,,
31,DKI JAKARTA,,2022-08-22 10:17:51.985147,,
32,JAWA BARAT,,2022-08-22 10:17:51.985147,,
33,JAWA TENGAH,,2022-08-22 10:17:51.985147,,
34,DI YOGYAKARTA,,2022-08-22 10:17:51.985147,,
35,JAWA TIMUR,,2022-08-22 10:17:51.985147,,
36,BANTEN,,2022-08-22 10:17:51.985147,,
51,BALI,,2022-08-22 10:17:51.985147,,
52,NUSA TENGGARA BARAT,,2022-08-22 10:17:51.985147,,
53,NUSA TENGGARA TIMUR,,2022-08-22 10:17:51.985147,,
61,KALIMANTAN BARAT,,2022-08-22 10:17:51.985147,,
62,KALIMANTAN TENGAH,,2022-08-22 10:17:51.985147,,
63,KALIMANTAN SELATAN,,2022-08-22 10:17:51.985147,,
64,KALIMANTAN TIMUR,,2022-08-22 10:17:51.985147,,
65,KALIMANTAN UTARA,,2022-08-22 10:17:51.985147,,
71,SULAWESI UTARA,,2022-08-22 10:17:51.985147,,
72,SULAWESI TENGAH,,2022-08-22 10:17:51.985147,,
73,SULAWESI SELATAN,,2022-08-22 10:17:51.985147,,
74,SULAWESI TENGGARA,,2022-08-22 10:17:51.985147,,
75,GORONTALO,,2022-08-22 10:17:51.985147,,
76,SULAWESI BARAT,,2022-08-22 10:17:51.985147,,
81,MALUKU,,2022-08-22 10:17:51.985147,,
82,MALUKU UTARA,,2022-08-22 10:17:51.985147,,
91,PAPUA BARAT,,2022-08-22 10:17:51.985147,,
94,PAPUA,,2022-08-22 10:17:51.985147,,
99,Lainnya,,2022-11-09 20:23:56.000000,,
